1342.119271,1289.625963,1321.142920,1526.208928,1462.485133,1575.149079,1762.507606,1717.407539,1820.749542,1869.983292,1967.185797,2253.117230,2195.539657,2205.010006,2255.416551,2151.043236,2233.075531,2137.982650,2216.821418,2285.691750,2160.616642,2049.998106,2073.348653,1961.111497,1906.372797,1999.752316,1848.465618,1937.355691,1980.691271,1855.002781,1877.712993,1799.022580,1853.949656,1891.987940,2039.906022,2112.325262,1875.890615,1837.191272,1949.312776,2149.958426,1982.119639,2017.632719,2051.686012,2080.640590,2144.678966,2287.925011,2231.931550,2171.980439,2247.146464,2151.077194,2109.309138,2176.499836,2151.606900,2142.258340,2021.359873,1734.998115,1657.274954,1665.182984,1538.482120,1408.452076,1408.031730,1287.972011,1407.595795,1283.742613
1307.429135,1465.453756,1375.291683,1635.510449,1478.560825,1715.234486,1824.241296,1981.457021,1824.832463,2318.725491,2264.255687,2590.041850,2458.160209,2479.293178,2522.535769,2396.479285,2486.314521,2470.380101,2523.618767,2450.441968,2288.934621,2313.733508,2355.194272,2051.352665,2116.300321,2100.247521,2159.516746,2321.489609,2178.484652,2157.428534,2348.386732,2150.963317,2210.518910,2219.025262,2204.552918,2177.076713,2259.090230,2052.262863,2140.469630,2363.362793,2142.025719,2179.501764,2334.732873,2309.934690,2375.137313,2562.508724,2568.005450,2552.529362,2489.711683,2351.871175,2535.482623,2515.613126,2495.479550,2193.269629,2060.554632,1985.531886,1919.117334,1819.323942,1616.314894,1800.224264,1542.945822,1477.635309,1558.404972,1400.034330
1371.558314,1635.928594,1621.433624,1636.247674,1714.730098,1999.129656,1957.232112,2023.621003,2026.318368,2206.018368,2468.740196,2493.486718,2511.941334,2675.089339,2584.563830,2695.869613,2479.521225,2656.033634,2514.485398,2568.356032,2537.376920,2416.660096,2271.733388,2503.363398,2228.142922,2315.092380,2187.980055,2286.826672,2063.517080,2166.590958,2186.712135,2331.750872,2263.044397,2133.432689,2231.377945,2308.844621,2172.743434,2274.376628,2067.975401,2343.387384,2475.269885,2332.953359,2457.225926,2461.368001,2492.539927,2538.202675,2627.492003,2534.344464,2467.292335,2611.010648,2636.036345,2710.361545,2515.735974,2354.195490,2188.299230,1942.830186,1914.864115,1849.017515,1795.416929,1721.904862,1729.886790,1652.614144,1451.720116,1434.019318
1456.000160,1542.048981,1525.097507,1755.996921,1890.486312,2049.495646,1975.577531,2168.428793,2221.601507,2306.298792,2510.846664,2619.081263,2876.295157,2591.427672,2720.795174,2759.077730,2810.909906,2669.586651,2597.083518,2582.583236,2705.897286,2485.682124,2538.530562,2508.873340,2493.059851,2440.338329,2407.945135,2342.118233,2444.217236,2258.616471,2348.379984,2251.042063,2292.429511,2373.549421,2250.066070,2336.086441,2422.207985,2485.182282,2493.805817,2187.110820,2277.388246,2437.460028,2353.205336,2493.893842,2684.757453,2572.377558,2814.859749,2919.018629,2703.299541,2819.405368,2718.658424,2591.936738,2746.037636,2649.458793,2252.418050,2147.092423,2160.357995,2083.981441,1977.092913,2079.403002,1941.188562,1619.051837,1522.660672,1416.445207
1610.274303,1737.671403,1803.260088,2093.035657,2394.130092,2693.825738,2620.941425,2666.303362,2552.622663,2707.569341,2876.274505,2954.777468,2993.723658,2818.327872,2788.829012,2867.453692,2817.541466,2891.905712,2893.585524,2733.806913,2648.047757,2625.101458,2664.158948,2376.821200,2479.043016,2426.795847,2401.365422,2264.389410,2488.390088,2477.195362,2419.394939,2402.290340,2228.668210,2286.358607,2391.298195,2332.407981,2387.727889,2429.561183,2485.485648,2419.948253,2373.788501,2660.914134,2602.232173,2544.995119,2914.475355,2718.587423,2889.553660,2701.201778,2811.148715,2800.512944,2758.234178,2815.200931,2780.086279,2894.178920,2568.302428,2541.773923,2680.412193,2494.333638,2716.737959,2368.983609,1996.693890,1734.172012,1666.752091,1409.616741
1634.879413,1810.750266,1931.147209,2046.064196,2439.241652,2632.936313,2833.909579,2859.499126,2890.903807,3277.144185,3284.029898,3305.082881,3323.169297,3255.504881,3069.448334,3308.748576,3048.755559,3035.328397,2924.811279,2922.908676,3000.956769,2694.846563,2805.267639,2858.362868,2670.622574,2714.618727,2935.313739,2540.496320,2616.398388,2412.483066,2450.344954,2480.136513,2400.572966,2422.132411,2478.589496,2634.142043,2662.337332,2810.784247,2556.321963,2550.867265,2728.527784,2873.804569,2877.239010,2934.005601,2879.610651,3240.917490,3106.345082,2970.772117,3145.148395,3142.818924,3104.459990,3199.594806,3159.462384,3318.142394,3081.600042,2868.245637,2968.568328,2679.091219,2631.018514,2534.005631,2006.148450,1759.349178,1717.138404,1605.995329
1576.785179,1792.849274,1955.825176,2121.684552,2647.154279,3034.809484,2809.191823,2996.007471,2922.720434,3104.349606,3370.002606,3412.847496,3311.176857,3359.556637,3515.868170,3216.506012,3192.104714,3356.178217,3449.179182,3309.508485,3131.579107,3037.702505,3060.873928,2775.587494,3025.816441,2829.648397,2823.924721,2727.936761,2766.913174,2556.099328,2488.768820,2353.750312,2439.552734,2421.949805,2644.939930,2739.654542,2858.360835,2884.179932,2852.940893,3050.113741,2998.447887,3189.473727,3110.255280,3118.718297,3276.020080,3215.428161,3200.501410,3294.927572,3105.101528,3560.472114,3430.401376,3574.300789,3208.510442,3417.009659,3033.625175,3133.066175,3050.270215,3118.583074,2757.662605,2499.652933,1993.615749,1877.881507,1804.226430,1673.993547
1773.981529,1786.946261,2025.117662,2212.248372,2541.997608,2980.982945,3244.075162,3048.681727,3096.941231,3241.326999,3319.724108,3461.137938,3675.723424,3515.145605,3327.410363,3497.298081,3519.255988,3305.986450,3508.249412,3420.076097,3364.564643,3304.840791,3317.043357,3160.823642,3203.955229,3221.057768,3044.876696,3035.492796,2648.805901,2739.106763,2466.120994,2513.240651,2469.234675,2438.256128,2733.913865,2790.881838,2928.551749,2982.697424,3120.289396,3229.764068,3258.103658,3274.898403,3298.670269,3361.358068,3287.434929,3514.093882,3385.941585,3358.830991,3413.461553,3303.132076,3485.453697,3191.092213,3447.559296,3305.214736,3125.757088,3066.832520,3256.907602,2996.781518,2868.391209,2693.053453,2258.931362,2030.488296,1890.446710,1603.558659
1682.109584,2075.090995,1940.020541,2020.318533,2664.062424,2744.731018,3035.722002,3161.376824,3056.267649,3237.390089,3553.776404,3490.946274,3386.558525,3373.786429,3431.591642,3428.776173,3371.165819,3472.425378,3535.646886,3542.025084,3389.486790,3328.220116,3448.259609,3479.221348,3363.155804,3254.316732,3120.805083,3045.575723,2734.405046,2717.417485,2563.710064,2538.466414,2658.335319,2611.692491,2575.381189,2913.733998,2919.764436,2989.017106,3181.653639,3246.495232,3483.179410,3479.650476,3436.444828,3513.264717,3402.089917,3329.164819,3387.128243,3363.887343,3434.904163,3302.348578,3611.573386,3596.940391,3496.193260,3444.595838,3248.215204,3264.402207,2923.718044,2908.963268,2749.147767,2519.255817,2057.919519,2020.443091,1987.399012,1647.965375
1886.272798,2059.706016,2114.602859,2419.397802,2598.362774,2866.093859,3071.692273,3242.554264,3210.083697,3358.787495,3616.714821,3669.693134,3526.690525,3400.563643,3425.393738,3705.753744,3530.054165,3646.992920,3655.255423,3466.132872,3557.666744,3230.410021,3360.045774,3540.667934,3473.683785,3252.110547,3250.738129,2959.054417,2773.501709,2528.406250,2607.496579,2448.851062,2727.811470,2424.044491,2656.480725,2845.752656,3055.466078,3231.646499,3208.900281,3463.893475,3217.588714,3390.157240,3453.544625,3656.252741,3655.138781,3414.124374,3702.873128,3691.069623,3516.030686,3569.330080,3734.861168,3535.302018,3619.162565,3583.716446,3323.876548,3241.427932,3181.184578,3127.876227,2938.028553,2768.927647,2310.695235,2143.432086,2160.373709,1817.087034
