440.549028,574.232872,544.386345,549.926718,598.539025,924.706156,1124.159590,1248.728626,1273.034779,1212.269396,1349.527673,1403.680353,1434.063044,1664.971501,1652.818424,1604.206117,1664.971501,1686.775550,1683.737281,1582.938233,1658.894962,1522.709015,1795.617075,1579.899964,1573.823426,1652.818424,1713.583807,1740.928230,1388.489007,1230.499011,1175.810166,1051.241130
512.100267,607.653832,662.342677,607.653832,771.720367,1160.618820,1370.795557,1471.058439,1418.871699,1476.598813,1494.828428,1683.201116,1844.765546,1844.765546,1874.612073,2008.295916,1945.028429,2073.171899,1890.339584,1911.071303,1999.181109,2002.219378,1980.951494,2041.716877,2047.793415,1820.459393,2099.980156,1945.028429,1740.928230,1425.484402,1364.182854,1203.154588
641.986274,665.380946,580.309410,650.725766,783.873444,1267.494406,1373.297661,1510.019773,1403.680353,1546.479003,1613.320925,1686.239385,1829.038035,1859.956892,1884.263046,1971.836686,1908.033034,1923.224379,1959.683609,1935.377456,1993.104570,1965.760148,2041.716877,2027.061696,1862.458996,2008.295916,1917.147841,1838.152843,1856.382458,1303.953636,1318.608816,1388.489007
635.605909,719.917878,680.572292,675.031919,789.949982,1236.575549,1333.800162,1352.565942,1330.761893,1585.976502,1646.741886,1640.665347,1832.076305,1905.530930,1944.492264,2069.061299,1999.181109,1926.262649,1962.721879,1841.191112,1881.224776,1977.913224,2038.678608,1935.377456,1841.191112,1999.717274,1941.453994,1768.272652,1701.430731,1364.182854,1348.991508,1221.384203
632.263813,758.351983,610.692102,720.069791,826.409212,1157.580551,1564.708618,1397.603814,1394.565545,1464.445736,1585.976502,1801.693613,1892.841688,1899.454391,1920.186110,1795.617075,1932.339187,2026.525531,1974.874955,1917.147841,1920.722275,1874.612073,1874.612073,2056.908223,1950.568802,2023.487262,1819.923228,1974.874955,1816.884959,1419.407864,1291.800559,1254.805164
549.926718,800.968176,707.460974,632.496151,808.179597,1218.345934,1312.532278,1285.187855,1464.981901,1519.134581,1655.856693,1616.359194,1871.573804,2048.329580,2051.367849,1917.147841,2069.597464,1945.028429,1962.721879,2011.334185,1914.109572,1932.339187,2035.640338,1853.344189,1971.836686,1829.574201,2008.295916,1847.803816,1649.780155,1330.761893,1391.527276,1246.226522
546.888449,722.500407,850.107711,647.687497,708.452880,1282.149586,1382.412469,1441.211913,1418.871699,1628.512271,1397.603814,1862.458996,2020.448993,1932.875352,1865.497265,1966.296313,2087.827079,1901.956495,1880.688611,1978.449390,2035.640338,2005.257647,1853.880354,1923.224379,2014.908619,1944.492264,1948.066698,1923.760545,1829.574201,1260.881702,1309.494009,1294.302663
510.429219,653.227870,649.126206,725.163360,756.529021,1285.187855,1367.221123,1449.254390,1486.249785,1434.599210,1607.244387,1762.732279,1801.693613,1835.114574,1870.144030,1896.952287,2017.410723,1856.382458,1807.770151,2023.487262,1895.879957,1950.568802,1996.142839,1974.874955,1987.028032,1999.717274,2017.946889,1983.989763,1807.770151,1339.876700,1312.532278,1373.297661
540.811911,641.074793,634.086774,883.376759,803.854532,1348.991508,1413.331325,1434.063044,1242.652087,1453.364990,1626.010167,1823.497662,1874.612073,1965.760148,1956.645340,1945.028429,1980.951494,1911.607468,2087.827079,1990.066301,2014.372454,2047.793415,1920.186110,1950.568802,1832.612470,1868.535535,1883.726880,1953.607071,1652.818424,1437.101314,1257.843433,1200.116319
501.314412,665.380946,726.682495,661.207794,884.672491,1157.580551,1391.527276,1398.139980,1491.790158,1494.828428,1540.402465,1825.999766,1787.038432,1938.415725,1887.301315,1987.564197,2036.176504,1996.679004,1987.028032,1920.186110,1887.301315,1903.028826,2002.755543,1862.458996,1865.497265,1880.688611,1886.765150,1826.535931,1686.239385,1342.914970,1395.101710,1342.914970
